N = 2^k,Numerical x(1),Error |x(1) - e|
1024,2.718281828459e+00,1.953992523340e-14
2048,2.718281828459e+00,3.552713678801e-15
4096,2.718281828459e+00,8.437694987151e-15
8192,2.718281828459e+00,2.131628207280e-14
16384,2.718281828459e+00,2.220446049250e-15
32768,2.718281828459e+00,1.509903313490e-14
65536,2.718281828459e+00,5.462297281156e-14
131072,2.718281828459e+00,5.595524044111e-14
262144,2.718281828459e+00,2.886579864025e-14
524288,2.718281828459e+00,1.332267629550e-13
1048576,2.718281828459e+00,1.167954621906e-13
